Query,RetrievedDocuments
50001.query,VOM19980317.0900.1955 VOM19980317.0900.0152 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980604.0700.0157 VOM19980312.0900.0230 VOM19980604.0730.0077 VOM19980626.0700.0131 VOM19980317.0700.0156 
50002.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50003.query,VOM19980326.0900.1939 VOM19980220.0700.1159 VOM19980404.0700.0676 VOM19980305.0900.1736 VOM19980616.0730.0252 VOM19980616.0730.0252 VOM19980316.0900.2774 VOM19980515.0900.0164 VOM19980524.0700.0265 VOM19980524.0700.0265 
50004.query,VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980630.0700.0032 VOM19980630.0730.0043 VOM19980630.0700.0071 VOM19980528.0900.0135 VOM19980617.0700.0304 VOM19980617.0700.0304 VOM19980617.0900.0007 VOM19980624.0700.0044 
50005.query,VOM19980630.0730.0136 VOM19980505.0730.0003 VOM19980614.0700.0302 VOM19980614.0730.0231 VOM19980506.0700.0208 VOM19980602.0900.0193 VOM19980624.0700.0288 VOM19980316.0900.3433 VOM19980224.0700.0588 VOM19980315.0700.2184 
50006.query,VOM19980317.0900.0192 VOM19980317.0900.0192 VOM19980317.0700.0220 VOM19980319.0700.0452 VOM19980319.0900.0364 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980526.0730.0131 VOM19980317.0700.1338 VOM19980526.0700.0342 
50007.query,VOM19980225.0900.2949 VOM19980222.0700.0302 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980222.0700.1986 VOM19980226.0900.3196 VOM19980403.0900.0124 VOM19980511.0900.0039 VOM19980403.0900.2034 VOM19980305.0900.1736 
50008.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50009.query,VOM19980604.0730.0077 VOM19980524.0730.0031 VOM19980531.0730.0076 VOM19980604.0700.0157 VOM19980317.0700.0629 VOM19980315.0700.2005 VOM19980315.0700.0358 VOM19980531.0700.0235 VOM19980312.0900.3403 VOM19980604.0700.0126 
50010.query,VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
